titre,lien,date,université,tag,traduction auto,contenu
我校23门在线开放课程接入国家智慧教育平台,http://news.yangtzeu.edu.cn/info/1003/30403.htm,2022-03-29,Yangtze University,Science,Our school 23 online open courses access national smart education platform,新闻网讯 3月28日，国家智慧教育平台正式上线，我校23门在线开放课程接入“国家高等教育智慧教育”平台。平台统计数据显示，我校在线开放课程选课人数达12万。
长江大学科技工作者积极投身乡村振兴,http://news.yangtzeu.edu.cn/info/1003/30397.htm,2022-03-28,Yangtze University,Science,Science and technology workers from Changjiang University actively devoted to rural revitalization,新闻网讯（记者 刘健）3月27日，松滋市涴市镇报德寺村一个大棚里，长江大学园艺园林学院朱进教授正在为当地西瓜种植户进行技术指导。
学校召开2022年服务荆州暨劝募筹资工作推进会,http://news.yangtzeu.edu.cn/info/1003/30396.htm,2022-03-28,Yangtze University,Science,The school held 2022 serving Jingzhou and persuasion financing work promotion,新闻网讯（通讯员 胡薇/文 记者 刘健/摄）3月25日下午，2022年长江大学服务荆州暨劝募筹资工作推进会在11教学术报告厅举行。校领导王建平、冯征、杜国锋、吕一兵、李应军，校党委组织部、就业指导中心、科技处、人事处、研究生院、国资处、校友工作与对外联络处（服务荆州工作办公室、教育发展基金管理办公室）、继续教育学院、技术转移中心、荆楚文化研究中心及各学院主要负责人参加会议。会议由党委书记王建平主持。
暖心护航 长江大学为考研学子打造网上复试专用室,http://news.yangtzeu.edu.cn/info/1003/30386.htm,2022-03-26,Yangtze University,Science,Warm heart escort Yangtze University to create online retest special room for postgraduate students,新闻网讯（记者 张晨露）近日，2022年全国硕士研究生招生复试录取工作陆续启动，受新冠疫情影响，今年包括我校在内的大多所高校采取网络远程方式进行复试。
荆州市委统战部来校调研统战工作,http://news.yangtzeu.edu.cn/info/1003/30374.htm,2022-03-25,Yangtze University,Science,The United Front Work Department of the Jingzhou Municipal Party Committee came to the school to investigate the work,新闻网讯（通讯员 张文）3月23日，荆州市委统战部常务副部长姚友安一行来校调研统战工作。专题座谈会在主教1401会议室召开，校党委常委、组织部部长兼统战部部长李应军主持会议并讲话，各民主党派、统战团体负责人参加座谈。
我校再次斩获湖北省高价值专利大赛金奖,http://news.yangtzeu.edu.cn/info/1002/29954.htm,2021-12-27,Yangtze University,Institution,Our school once again won the Gold Award of Hubei Province High -Value Patent Contest,新闻网讯（通讯员 张琴）12月19日，由湖北省知识产权局主办的“第二届湖北省高价值专利大赛”决赛在武汉落幕，我校管锋教授“一种六开度开关滑套”专利获得金奖。这是继2020年首届大赛许明标教授团队获得金奖之后的再次获奖。
学校举行首批“长江教学名师计划”签约仪式,http://news.yangtzeu.edu.cn/info/1003/30369.htm,2022-03-25,Yangtze University,Science,"School held the first batch of ""Yangtze River Teacher Program"" signing ceremony",新闻网讯 3月24日，学校首批“长江教学名师计划”签约仪式在6教316举行。副校长周思柱，首批“长江教学名师计划”培育人选，教务处、人事处负责人参加仪式。
校纪委到一线监督检查疫情防控工作,http://news.yangtzeu.edu.cn/info/1003/30368.htm,2022-03-25,Yangtze University,Science,The School Discipline Committee has supervised the epidemic prevention and control work,新闻网讯 为督促落实3月17日中央政治局常委会作出的从严抓好疫情防控工作决策部署，3月23—24日，校纪委派出5个督查组，采取明察与暗访相结合的方式，对学校门禁值守、学生公寓、后勤保障等重点场所及相关部门履职尽责情况开展监督检查。
省财政厅领导来校调研交流,http://news.yangtzeu.edu.cn/info/1003/30363.htm,2022-03-24,Yangtze University,Science,Provincial Finance Department leaders to school to study exchange,新闻网讯（记者 张晨露）3月24日上午，省财政厅科教和文化处处长屈浩一行来校调研交流，就省财政如何更好地支持和服务地方省属高校听取意见和建议。荆州市教育局、荆州市财政局，校长冯征、副校长毛精华及相关职能部门负责人参加调研座谈。
档案馆：远程查档“办事不见面，服务不打烊”,http://news.yangtzeu.edu.cn/info/1003/30361.htm,2022-03-24 00:00:00,Yangtze University,Science,"Archives: Remote Identification ""Don't see the news, the service does not fight""",新闻网讯（通讯员 戴晶晶）“查档者可通过发送邮件至档案馆邮箱，提交个人相关信息及查档需求，档案馆工作人员在收到邮件后进行身份信息核验，再根据用户需求进行档案查询、档案寄送等服务，用户在3至5天之内即可享受到‘足不出户，档案到手’的方便快捷。”档案馆相关负责人介绍。
学校召开新增博士点立项建设学科工作推进会,http://news.yangtzeu.edu.cn/info/1003/30360.htm,2022-03-24 00:00:00,Yangtze University,Science,School convened new doctoral projects construction discipline work promotion,新闻网讯 3月22日下午，学校在6教205会议室召开新增博士点立项建设学科工作推进会议。校长冯征、副校长吕一兵，相关职能部门负责人、新增博士点立项建设学科负责人等参加会议。吕一兵主持会议。
远安县人大副主任张敏一行来校洽谈合作,http://news.yangtzeu.edu.cn/info/1003/30356.htm,2022-03-23 00:00:00,Yangtze University,Science,"Zhang Min, deputy director of Yuan'an County People's Congress, came to the school to discuss cooperation",新闻网讯（记者 李胜杰）3月22日，远安县人大副主任张敏一行来校洽谈校地合作。我校挂职科技副县长朱贵才，远安县人大、教育局、远安县职业教育中心相关负责人等参加调研。
中科院兰州化物所-长江大学全国重点实验室重组合作交流研讨会举行,http://news.yangtzeu.edu.cn/info/1003/30346.htm,2022-03-21 00:00:00,Yangtze University,Science,Chinese Academy of Sciences Lanzhou Chemicals - Changjiang University National Key Laboratory Recommended Cooperation Exchange Seminar,新闻网讯 3月21日，中科院兰州化物所-长江大学全国重点实验室重组合作交流研讨会以线上形式召开。中国石油化工股份有限公司李阳院士参会。中科院兰州化物所刘维民院士，所长、党委书记王齐华，副所长赵培庆及相关领导参会。我校党委书记王建平，校长冯征，副校长张玉清、吕一兵参会。会议由兰化所副所长赵培庆主持。
学校开展“深化校院二级管理改革”调研,http://news.yangtzeu.edu.cn/info/1002/29941.htm,2021-12-23 00:00:00,Yangtze University,Institution,"The school launched the investigation of ""Deepening the Second Level Management Reform""",新闻网讯（通讯员 孙永强）为进一步推进校院二级管理改革，提升大学治理能力和水平，12月14日至22日，学校分别召开了6场“深化校院二级管理改革”调研会。
学校参加新一轮本科教育教学审核评估实施在线辅导答疑活动,http://news.yangtzeu.edu.cn/info/1003/30341.htm,2022-03-21 00:00:00,Yangtze University,Science,Schools participate in new one-round undergraduate education teaching audit assessment implementation online counseling answering activities,新闻网讯 3月18日上午，教育部高等教育教学评估中心组织开展“新一轮本科教育教学审核评估实施在线辅导答疑活动”，我校在11教学术报告厅和武汉校区管委会设立视频分会场。副校长周思柱，各学院（部）分管教学工作副院长，教务处全体处级干部参加活动。
我校1门精品慕课上线“学习强国”,http://news.yangtzeu.edu.cn/info/1003/30339.htm,2022-03-21 00:00:00,Yangtze University,Science,"Our school 1 boutique lacked ""learning strong country""",新闻网讯（记者 汤慧珍）近日，由地物学院毛宁波教授主讲的国家级一流本科线上课程《地震勘探原理》登陆中宣部“学习强国”学习平台并面向社会开放，为高校师生和广大社会学习者提供优质学习资源。
学校召开2022年全面深化改革领导小组第一次会议,http://news.yangtzeu.edu.cn/info/1003/30326.htm,2022-03-18,Yangtze University,Science,,新闻网讯（通讯员 孙永强）3月17日下午，学校在6教205召开2022年全面深化改革领导小组第一次会议。全体在校校领导及学校全面深化改革领导小组成员参加会议。党委书记王建平主持会议。
